task_id,mu,sigma
wildchat_109,0.0,0.6773825298356546
wildchat_128,10.0,0.992776441779426
wildchat_154,10.0,0.808280964249194
wildchat_171,7.58593158120882,0.78360927643811
wildchat_173,-5.3039655824082095,0.8052738652231862
wildchat_194,8.281696842162356,0.6751794792931026
wildchat_212,10.0,0.9322040924083417
wildchat_226,10.0,0.9995915714931971
wildchat_245,-4.651353847125908,0.8270607046059179
wildchat_248,5.533622688791426,0.4347440563637148
wildchat_270,0.05914393250631233,0.9409938528505793
wildchat_281,1.199690789563069,0.9766756171068746
wildchat_284,-1.1010261601170717,0.7363076001247277
wildchat_286,-3.9807457650664904,0.8638772567588056
wildchat_322,10.0,0.7248371477558874
wildchat_389,-4.329239075756404,0.704933723909317
wildchat_397,5.409186445068027,0.9774375188287334
wildchat_429,-6.703906946862281,0.9420195251374397
wildchat_434,-2.012876688142969,0.9987040423318871
wildchat_469,3.1618156797770274,0.4907788227142743
wildchat_510,6.592404748798739,7.38905609893065
wildchat_519,10.0,0.9829308423144092
wildchat_573,10.0,0.9750281650755309
wildchat_580,10.0,0.9999188104592291
wildchat_587,5.492125689257894,0.9909349453425581
wildchat_610,7.66178922411428,1.0
wildchat_621,-6.0803556651129185,0.9608993421325015
wildchat_1003,4.287718450432549,0.5425552868180924
wildchat_1012,2.0516596905316975,0.9823413169742422
wildchat_1014,-0.8375460410744675,0.8381870936750543
wildchat_1044,-10.0,0.9722690048578203
wildchat_1068,10.0,0.914042452855884
wildchat_1077,10.0,0.7623679966917116
wildchat_1124,-3.5340035754777097,0.9989425676351493
wildchat_1137,-2.4173461433769616,0.9996485024167259
wildchat_1165,-10.0,1.000000396494846
wildchat_1221,-10.0,0.9472135380541911
wildchat_1229,4.2474901220741055,0.851625829303084
wildchat_1230,-6.681942599664477,0.9026532435671453
wildchat_1257,10.0,0.9999999814254241
wildchat_1298,10.0,1.0000010333080802
wildchat_1322,10.0,0.972885557028084
wildchat_1357,-6.3627621731424036,0.5402741220456476
wildchat_1364,6.050225754888927,0.48858647819718476
wildchat_1398,-2.791066015579709,0.8034513948521415
wildchat_1405,7.236866742760136,0.8548376333242825
wildchat_1448,2.122992846219633,0.9630498979898049
wildchat_1450,4.905026527227243,0.6077190675531104
wildchat_1453,0.9784566780143017,0.7544087732906665
wildchat_1463,-6.946696049489362,0.884355720268381
wildchat_1469,-3.281910103869149,0.898527148268531
wildchat_1476,-3.8352623380979787,0.7797461315252735
wildchat_1499,6.751779640717549,0.9152513345789344
wildchat_1507,8.040808772340844,0.9905350715755193
wildchat_1537,-10.0,0.9999997383479418
wildchat_1552,10.0,0.9993533380205992
wildchat_1604,-6.0799097099540536,0.9609274158218716
wildchat_1626,-1.4568986988667831,0.7090449974671333
wildchat_1642,7.560416344224123,0.6023375820054835
wildchat_1669,-2.8848980792855796,0.8526707916676259
wildchat_2003,10.0,0.9987864376570726
wildchat_2117,5.934899051271511,0.5735982726279877
wildchat_2126,3.54154515620865,0.8933677992992844
wildchat_2150,2.730760809999461,3.0569276480931817
wildchat_2165,2.553833634709456,0.9999969541434971
