seed,model,n_wins,n_questions,win_rate
222333,gpt-6,1.0,10,0.1
222333,gpt-6-high,0.0,10,0.0
222333,claude-opus-5,3.0,10,0.3
222333,claude-opus-5-high,2.0,10,0.2
222333,qwen-4,1.0,10,0.1
222333,qwen-4-high,3.0,10,0.3
222334,gpt-6,2.1666666666666665,10,0.21666666666666665
222334,gpt-6-high,1.1666666666666667,10,0.11666666666666667
222334,claude-opus-5,2.166666666666667,10,0.2166666666666667
222334,claude-opus-5-high,2.1666666666666665,10,0.21666666666666665
222334,qwen-4,0.16666666666666666,10,0.016666666666666666
222334,qwen-4-high,2.1666666666666665,10,0.21666666666666665
222335,gpt-6,1.75,10,0.175
222335,gpt-6-high,1.75,10,0.175
222335,claude-opus-5,1.25,10,0.125
222335,claude-opus-5-high,2.0,10,0.2
222335,qwen-4,1.25,10,0.125
222335,qwen-4-high,2.0,10,0.2
222336,gpt-6,0.0,10,0.0
222336,gpt-6-high,4.0,10,0.4
222336,claude-opus-5,4.0,10,0.4
222336,claude-opus-5-high,2.0,10,0.2
222336,qwen-4,0.0,10,0.0
222336,qwen-4-high,0.0,10,0.0
222337,gpt-6,3.2,10,0.32
222337,gpt-6-high,3.2,10,0.32
222337,claude-opus-5,0.0,10,0.0
222337,claude-opus-5-high,2.2,10,0.22000000000000003
222337,qwen-4,0.2,10,0.02
222337,qwen-4-high,1.2,10,0.12
222338,gpt-6,0.41666666666666663,10,0.041666666666666664
222338,gpt-6-high,0.16666666666666666,10,0.016666666666666666
222338,claude-opus-5,5.416666666666667,10,0.5416666666666667
222338,claude-opus-5-high,3.4166666666666665,10,0.3416666666666667
222338,qwen-4,0.41666666666666663,10,0.041666666666666664
222338,qwen-4-high,0.16666666666666666,10,0.016666666666666666
222339,gpt-6,1.0,10,0.1
222339,gpt-6-high,0.0,10,0.0
222339,claude-opus-5,3.0,10,0.3
222339,claude-opus-5-high,5.0,10,0.5
222339,qwen-4,0.0,10,0.0
222339,qwen-4-high,1.0,10,0.1
222340,gpt-6,0.41666666666666663,10,0.041666666666666664
222340,gpt-6-high,0.41666666666666663,10,0.041666666666666664
222340,claude-opus-5,4.166666666666667,10,0.4166666666666667
222340,claude-opus-5-high,4.416666666666666,10,0.4416666666666666
222340,qwen-4,0.41666666666666663,10,0.041666666666666664
222340,qwen-4-high,0.16666666666666666,10,0.016666666666666666
222341,gpt-6,2.0,10,0.2
222341,gpt-6-high,2.0,10,0.2
222341,claude-opus-5,4.0,10,0.4
222341,claude-opus-5-high,1.0,10,0.1
222341,qwen-4,0.0,10,0.0
222341,qwen-4-high,1.0,10,0.1
222342,gpt-6,0.0,10,0.0
222342,gpt-6-high,5.0,10,0.5
222342,claude-opus-5,1.0,10,0.1
222342,claude-opus-5-high,2.0,10,0.2
222342,qwen-4,0.0,10,0.0
222342,qwen-4-high,2.0,10,0.2
222343,gpt-6,1.25,10,0.125
222343,gpt-6-high,2.25,10,0.225
222343,claude-opus-5,2.0,10,0.2
222343,claude-opus-5-high,0.0,10,0.0
222343,qwen-4,2.25,10,0.225
222343,qwen-4-high,2.25,10,0.225
222344,gpt-6,4.0,10,0.4
222344,gpt-6-high,4.0,10,0.4
222344,claude-opus-5,0.0,10,0.0
222344,claude-opus-5-high,1.0,10,0.1
222344,qwen-4,1.0,10,0.1
222344,qwen-4-high,0.0,10,0.0
222345,gpt-6,0.0,10,0.0
222345,gpt-6-high,1.0,10,0.1
222345,claude-opus-5,2.0,10,0.2
222345,claude-opus-5-high,3.5,10,0.35
222345,qwen-4,2.0,10,0.2
222345,qwen-4-high,1.5,10,0.15
222346,gpt-6,1.0,10,0.1
222346,gpt-6-high,4.0,10,0.4
222346,claude-opus-5,2.0,10,0.2
222346,claude-opus-5-high,3.0,10,0.3
222346,qwen-4,0.0,10,0.0
222346,qwen-4-high,0.0,10,0.0
222347,gpt-6,3.0,10,0.3
222347,gpt-6-high,1.0,10,0.1
222347,claude-opus-5,2.0,10,0.2
222347,claude-opus-5-high,1.0,10,0.1
222347,qwen-4,0.0,10,0.0
222347,qwen-4-high,3.0,10,0.3
222348,gpt-6,0.5,10,0.05
222348,gpt-6-high,5.5,10,0.55
222348,claude-opus-5,1.0,10,0.1
222348,claude-opus-5-high,2.0,10,0.2
222348,qwen-4,1.0,10,0.1
222348,qwen-4-high,0.0,10,0.0
222349,gpt-6,3.0,10,0.3
222349,gpt-6-high,1.0,10,0.1
222349,claude-opus-5,0.0,10,0.0
222349,claude-opus-5-high,6.0,10,0.6
222349,qwen-4,0.0,10,0.0
222349,qwen-4-high,0.0,10,0.0
222350,gpt-6,1.0,10,0.1
222350,gpt-6-high,4.0,10,0.4
222350,claude-opus-5,1.0,10,0.1
222350,claude-opus-5-high,3.0,10,0.3
222350,qwen-4,0.0,10,0.0
222350,qwen-4-high,1.0,10,0.1
222351,gpt-6,1.3333333333333333,10,0.13333333333333333
222351,gpt-6-high,3.0,10,0.3
222351,claude-opus-5,1.0,10,0.1
222351,claude-opus-5-high,4.0,10,0.4
222351,qwen-4,0.3333333333333333,10,0.03333333333333333
222351,qwen-4-high,0.3333333333333333,10,0.03333333333333333
222352,gpt-6,1.0,10,0.1
222352,gpt-6-high,1.0,10,0.1
222352,claude-opus-5,2.0,10,0.2
222352,claude-opus-5-high,5.0,10,0.5
222352,qwen-4,0.0,10,0.0
222352,qwen-4-high,1.0,10,0.1
222353,gpt-6,5.0,10,0.5
222353,gpt-6-high,2.0,10,0.2
222353,claude-opus-5,0.0,10,0.0
222353,claude-opus-5-high,2.0,10,0.2
222353,qwen-4,0.0,10,0.0
222353,qwen-4-high,1.0,10,0.1
222354,gpt-6,0.3333333333333333,10,0.03333333333333333
222354,gpt-6-high,0.6666666666666666,10,0.06666666666666667
222354,claude-opus-5,1.3333333333333333,10,0.13333333333333333
222354,claude-opus-5-high,7.0,10,0.7
222354,qwen-4,0.0,10,0.0
222354,qwen-4-high,0.6666666666666666,10,0.06666666666666667
222355,gpt-6,1.0,10,0.1
222355,gpt-6-high,3.0,10,0.3
222355,claude-opus-5,2.0,10,0.2
222355,claude-opus-5-high,3.0,10,0.3
222355,qwen-4,1.0,10,0.1
222355,qwen-4-high,0.0,10,0.0
222356,gpt-6,1.0,10,0.1
222356,gpt-6-high,2.25,10,0.225
222356,claude-opus-5,1.0,10,0.1
222356,claude-opus-5-high,1.25,10,0.125
222356,qwen-4,2.25,10,0.225
222356,qwen-4-high,2.25,10,0.225
222357,gpt-6,1.0,10,0.1
222357,gpt-6-high,1.0,10,0.1
222357,claude-opus-5,2.0,10,0.2
222357,claude-opus-5-high,3.0,10,0.3
222357,qwen-4,2.0,10,0.2
222357,qwen-4-high,1.0,10,0.1
222358,gpt-6,1.0,10,0.1
222358,gpt-6-high,2.5,10,0.25
222358,claude-opus-5,2.0,10,0.2
222358,claude-opus-5-high,3.0,10,0.3
222358,qwen-4,0.5,10,0.05
222358,qwen-4-high,1.0,10,0.1
222359,gpt-6,4.0,10,0.4
222359,gpt-6-high,2.0,10,0.2
222359,claude-opus-5,1.0,10,0.1
222359,claude-opus-5-high,0.0,10,0.0
222359,qwen-4,1.0,10,0.1
222359,qwen-4-high,2.0,10,0.2
222360,gpt-6,2.0,10,0.2
222360,gpt-6-high,2.0,10,0.2
222360,claude-opus-5,1.0,10,0.1
222360,claude-opus-5-high,2.0,10,0.2
222360,qwen-4,1.0,10,0.1
222360,qwen-4-high,2.0,10,0.2
222361,gpt-6,1.0,10,0.1
222361,gpt-6-high,1.0,10,0.1
222361,claude-opus-5,1.0,10,0.1
222361,claude-opus-5-high,5.0,10,0.5
222361,qwen-4,0.0,10,0.0
222361,qwen-4-high,2.0,10,0.2
222362,gpt-6,2.0,10,0.2
222362,gpt-6-high,2.0,10,0.2
222362,claude-opus-5,2.0,10,0.2
222362,claude-opus-5-high,3.0,10,0.3
222362,qwen-4,0.0,10,0.0
222362,qwen-4-high,1.0,10,0.1
222363,gpt-6,3.0,10,0.3
222363,gpt-6-high,2.0,10,0.2
222363,claude-opus-5,1.0,10,0.1
222363,claude-opus-5-high,3.0,10,0.3
222363,qwen-4,1.0,10,0.1
222363,qwen-4-high,0.0,10,0.0
222364,gpt-6,0.0,10,0.0
222364,gpt-6-high,4.0,10,0.4
222364,claude-opus-5,2.0,10,0.2
222364,claude-opus-5-high,3.0,10,0.3
222364,qwen-4,0.0,10,0.0
222364,qwen-4-high,1.0,10,0.1
222365,gpt-6,1.0,10,0.1
222365,gpt-6-high,3.2,10,0.32
222365,claude-opus-5,1.2,10,0.12
222365,claude-opus-5-high,4.2,10,0.42000000000000004
222365,qwen-4,0.2,10,0.02
222365,qwen-4-high,0.2,10,0.02
222366,gpt-6,1.2,10,0.12
222366,gpt-6-high,2.2,10,0.22000000000000003
222366,claude-opus-5,3.2,10,0.32
222366,claude-opus-5-high,3.2,10,0.32
222366,qwen-4,0.0,10,0.0
222366,qwen-4-high,0.2,10,0.02
222367,gpt-6,0.0,10,0.0
222367,gpt-6-high,2.0,10,0.2
222367,claude-opus-5,2.0,10,0.2
222367,claude-opus-5-high,3.5,10,0.35
222367,qwen-4,0.0,10,0.0
222367,qwen-4-high,2.5,10,0.25
222368,gpt-6,4.0,10,0.4
222368,gpt-6-high,2.0,10,0.2
222368,claude-opus-5,1.0,10,0.1
222368,claude-opus-5-high,2.0,10,0.2
222368,qwen-4,0.0,10,0.0
222368,qwen-4-high,1.0,10,0.1
222369,gpt-6,0.0,10,0.0
222369,gpt-6-high,3.0,10,0.3
222369,claude-opus-5,2.0,10,0.2
222369,claude-opus-5-high,3.0,10,0.3
222369,qwen-4,1.0,10,0.1
222369,qwen-4-high,1.0,10,0.1
222370,gpt-6,0.0,10,0.0
222370,gpt-6-high,3.0,10,0.3
222370,claude-opus-5,2.0,10,0.2
222370,claude-opus-5-high,4.0,10,0.4
222370,qwen-4,1.0,10,0.1
222370,qwen-4-high,0.0,10,0.0
222371,gpt-6,2.0,10,0.2
222371,gpt-6-high,1.0,10,0.1
222371,claude-opus-5,1.0,10,0.1
222371,claude-opus-5-high,2.0,10,0.2
222371,qwen-4,3.0,10,0.3
222371,qwen-4-high,1.0,10,0.1
222372,gpt-6,2.1666666666666665,10,0.21666666666666665
222372,gpt-6-high,2.1666666666666665,10,0.21666666666666665
222372,claude-opus-5,2.1666666666666665,10,0.21666666666666665
222372,claude-opus-5-high,2.1666666666666665,10,0.21666666666666665
222372,qwen-4,0.16666666666666666,10,0.016666666666666666
222372,qwen-4-high,1.1666666666666667,10,0.11666666666666667
222373,gpt-6,1.0,10,0.1
222373,gpt-6-high,3.0,10,0.3
222373,claude-opus-5,3.0,10,0.3
222373,claude-opus-5-high,2.0,10,0.2
222373,qwen-4,0.0,10,0.0
222373,qwen-4-high,1.0,10,0.1
222374,gpt-6,0.0,10,0.0
222374,gpt-6-high,2.0,10,0.2
222374,claude-opus-5,3.0,10,0.3
222374,claude-opus-5-high,5.0,10,0.5
222374,qwen-4,0.0,10,0.0
222374,qwen-4-high,0.0,10,0.0
222375,gpt-6,0.2,10,0.02
222375,gpt-6-high,2.0,10,0.2
222375,claude-opus-5,1.2,10,0.12
222375,claude-opus-5-high,5.2,10,0.52
222375,qwen-4,1.2,10,0.12
222375,qwen-4-high,0.2,10,0.02
222376,gpt-6,2.0,10,0.2
222376,gpt-6-high,2.0,10,0.2
222376,claude-opus-5,2.0,10,0.2
222376,claude-opus-5-high,4.0,10,0.4
222376,qwen-4,0.0,10,0.0
222376,qwen-4-high,0.0,10,0.0
222377,gpt-6,1.0,10,0.1
222377,gpt-6-high,3.0,10,0.3
222377,claude-opus-5,0.0,10,0.0
222377,claude-opus-5-high,4.0,10,0.4
222377,qwen-4,0.0,10,0.0
222377,qwen-4-high,2.0,10,0.2
222378,gpt-6,3.3333333333333335,10,0.33333333333333337
222378,gpt-6-high,1.3333333333333333,10,0.13333333333333333
222378,claude-opus-5,1.3333333333333333,10,0.13333333333333333
222378,claude-opus-5-high,1.0,10,0.1
222378,qwen-4,1.0,10,0.1
222378,qwen-4-high,2.0,10,0.2
222379,gpt-6,0.16666666666666666,10,0.016666666666666666
222379,gpt-6-high,1.8666666666666667,10,0.18666666666666668
222379,claude-opus-5,3.3666666666666667,10,0.33666666666666667
222379,claude-opus-5-high,3.8666666666666667,10,0.38666666666666666
222379,qwen-4,0.3666666666666667,10,0.03666666666666667
